epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,183.986,1.96267,1.30143,1.0338,0.76936,0.47603,0.46159,0.21436,2.08934,1.29172,1.03617,0.00900844,0.00900844,0.00900844
43,188.362,1.9263,1.29756,1.02159,0.4594,0.53906,0.48684,0.25673,1.94597,1.31793,1.01629,0.00896127,0.00896127,0.00896127
44,192.681,1.91983,1.28938,1.02709,0.47088,0.49174,0.48372,0.25374,1.86536,1.30683,1.00374,0.00891313,0.00891313,0.00891313
45,197.072,1.91719,1.27287,1.01546,0.51168,0.44507,0.45219,0.20595,2.40051,1.40123,1.08472,0.00886404,0.00886404,0.00886404
46,201.442,1.89366,1.2731,1.00771,0.76853,0.48876,0.49657,0.21231,2.1034,1.25524,1.04796,0.00881401,0.00881401,0.00881401
47,205.801,1.90074,1.29231,1.02592,0.78383,0.48046,0.49745,0.26083,1.90292,1.28531,1.0093,0.00876305,0.00876305,0.00876305
48,210.246,1.92612,1.29673,1.0136,0.78487,0.53584,0.5155,0.26699,1.90814,1.20626,1.00607,0.00871117,0.00871117,0.00871117
49,214.665,1.85433,1.25007,1.00641,0.7447,0.52359,0.50937,0.27008,1.88338,1.21703,1.0004,0.00865839,0.00865839,0.00865839
50,219.017,1.83788,1.24454,1.00866,0.76531,0.50482,0.50631,0.24312,1.89902,1.22235,1.01371,0.00860473,0.00860473,0.00860473
51,223.337,1.84926,1.24749,1.00066,0.79055,0.54064,0.54261,0.28791,1.92662,1.24422,1.00621,0.00855018,0.00855018,0.00855018
52,227.705,1.85851,1.23985,1.01004,0.78351,0.52614,0.51075,0.24308,1.95303,1.2766,1.01388,0.00849477,0.00849477,0.00849477
53,231.987,1.80868,1.22404,1.00577,0.76477,0.51176,0.50341,0.2436,1.98169,1.25146,1.01081,0.00843851,0.00843851,0.00843851
54,236.309,1.79631,1.16887,0.98476,0.76608,0.4875,0.49776,0.20209,2.32162,1.28259,1.07791,0.00838141,0.00838141,0.00838141
55,240.715,1.84068,1.22638,1.00218,0.80574,0.52436,0.5247,0.23241,2.22363,1.32903,1.06077,0.00832349,0.00832349,0.00832349
56,245.168,1.83496,1.23306,1.00655,0.77645,0.53776,0.59761,0.27625,1.98565,1.25788,1.02005,0.00826477,0.00826477,0.00826477
57,249.496,1.82007,1.2523,1.00438,0.76776,0.50255,0.51236,0.2391,1.98236,1.22256,1.01635,0.00820525,0.00820525,0.00820525
58,253.883,1.84002,1.23279,1.0012,0.52082,0.48438,0.4672,0.22409,2.04917,1.52414,1.02316,0.00814495,0.00814495,0.00814495
59,258.255,1.89024,1.24366,1.00651,0.79162,0.52637,0.53033,0.26743,1.90167,1.22003,1.0088,0.00808389,0.00808389,0.00808389
60,262.616,1.92821,1.26152,1.00931,0.77877,0.50386,0.50388,0.25148,2.04116,1.23157,1.0189,0.00802208,0.00802208,0.00802208
61,267.021,1.89366,1.25321,1.00291,0.78877,0.5428,0.52637,0.27432,1.94462,1.23641,1.00504,0.00795954,0.00795954,0.00795954
62,271.452,1.84447,1.21219,0.99927,0.79449,0.50697,0.52824,0.27959,1.83419,1.14913,0.99721,0.00789628,0.00789628,0.00789628
63,275.819,1.89742,1.26673,1.00248,0.77292,0.50149,0.49504,0.2305,2.19627,1.25235,1.05342,0.00783231,0.00783231,0.00783231
64,280.199,1.85034,1.20138,0.99796,0.81593,0.54937,0.59517,0.28307,1.87026,1.16274,0.99375,0.00776766,0.00776766,0.00776766
65,284.555,1.7983,1.203,0.98545,0.79159,0.52771,0.54708,0.26758,1.90943,1.17185,1.00575,0.00770234,0.00770234,0.00770234
66,288.939,1.79222,1.16128,0.99022,0.50576,0.54959,0.52372,0.27357,1.85649,1.1951,0.99486,0.00763637,0.00763637,0.00763637
67,293.313,1.80771,1.17793,0.98335,0.75763,0.53886,0.5402,0.27477,1.9676,1.20069,1.0105,0.00756976,0.00756976,0.00756976
68,297.77,1.78895,1.15631,0.98322,0.78876,0.52787,0.51493,0.26054,1.93178,1.15493,0.99592,0.00750252,0.00750252,0.00750252
69,302.166,1.8193,1.17226,1.00274,0.79377,0.53705,0.55452,0.25942,2.05218,1.17909,1.01545,0.00743468,0.00743468,0.00743468
70,306.564,1.82202,1.15737,0.98433,0.7779,0.51558,0.59746,0.29101,1.90794,1.18489,0.99858,0.00736625,0.00736625,0.00736625
71,310.926,1.82737,1.20114,0.99702,0.766,0.47827,0.60503,0.26692,1.98081,1.23204,1.01254,0.00729725,0.00729725,0.00729725
72,315.299,1.78231,1.18437,0.97701,0.7839,0.52833,0.54354,0.29037,1.85283,1.16332,0.99462,0.0072277,0.0072277,0.0072277
